## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
01 000000001ffffe00 --  1    37    13
01 000000001fffff00 --  1    38    14
01 000000001fffff80 --  1    39    15
01 000000001fffffc0 --  1    3a    16
01 000000001fffffe0 --  1    3b    17
01 000000001ffffff0 --  1    3c    18
01 000000001ffffff8 --  1    3d    19
01 000000001ffffffc --  1    3e    1a
01 000000001ffffffe --  1    3f    1b
01 000000001fffffff --  1    00    1c
01 0000000020000000 --  1    23    00
01 0000000030000000 --  1    24    01
01 0000000038000000 --  1    25    02
01 000000003c000000 --  1    26    03
01 000000003e000000 --  1    27    04
01 000000003f000000 --  1    28    05
01 000000003f800000 --  1    29    06
01 000000003fc00000 --  1    2a    07
01 000000003fe00000 --  1    2b    08
01 000000003ff00000 --  1    2c    09
01 000000003ff80000 --  1    2d    0a
01 000000003ffc0000 --  1    2e    0b
01 000000003ffe0000 --  1    2f    0c
01 000000003fff0000 --  1    30    0d
01 000000003fff8000 --  1    31    0e
01 000000003fffc000 --  1    32    0f
01 000000003fffe000 --  1    33    10
01 000000003ffff000 --  1    34    11
01 000000003ffff800 --  1    35    12
01 000000003ffffc00 --  1    36    13
01 000000003ffffe00 --  1    37    14
01 000000003fffff00 --  1    38    15
01 000000003fffff80 --  1    39    16
01 000000003fffffc0 --  1    3a    17
01 000000003fffffe0 --  1    3b    18
01 000000003ffffff0 --  1    3c    19
01 000000003ffffff8 --  1    3d    1a
01 000000003ffffffc --  1    3e    1b
01 000000003ffffffe --  1    3f    1c
01 000000003fffffff --  1    00    1d
01 0000000040000000 --  1    22    00
01 0000000060000000 --  1    23    01
01 0000000070000000 --  1    24    02
01 0000000078000000 --  1    25    03
01 000000007c000000 --  1    26    04
01 000000007e000000 --  1    27    05
01 000000007f000000 --  1    28    06
01 000000007f800000 --  1    29    07
01 000000007fc00000 --  1    2a    08
01 000000007fe00000 --  1    2b    09
01 000000007ff00000 --  1    2c    0a
01 000000007ff80000 --  1    2d    0b
01 000000007ffc0000 --  1    2e    0c
01 000000007ffe0000 --  1    2f    0d
01 000000007fff0000 --  1    30    0e
01 000000007fff8000 --  1    31    0f
01 000000007fffc000 --  1    32    10
01 000000007fffe000 --  1    33    11
01 000000007ffff000 --  1    34    12
01 000000007ffff800 --  1    35    13
01 000000007ffffc00 --  1    36    14
01 000000007ffffe00 --  1    37    15
01 000000007fffff00 --  1    38    16
01 000000007fffff80 --  1    39    17
01 000000007fffffc0 --  1    3a    18
01 000000007fffffe0 --  1    3b    19
01 000000007ffffff0 --  1    3c    1a
01 000000007ffffff8 --  1    3d    1b
01 000000007ffffffc --  1    3e    1c
01 000000007ffffffe --  1    3f    1d
01 000000007fffffff --  1    00    1e
01 0000000080000000 --  1    21    00
01 00000000c0000000 --  1    22    01
01 00000000e0000000 --  1    23    02
01 00000000f0000000 --  1    24    03
01 00000000f8000000 --  1    25    04
01 00000000fc000000 --  1    26    05
01 00000000fe000000 --  1    27    06
01 00000000ff000000 --  1    28    07
01 00000000ff800000 --  1    29    08
01 00000000ffc00000 --  1    2a    09
01 00000000ffe00000 --  1    2b    0a
01 00000000fff00000 --  1    2c    0b
01 00000000fff80000 --  1    2d    0c
01 00000000fffc0000 --  1    2e    0d
01 00000000fffe0000 --  1    2f    0e
01 00000000ffff0000 --  1    30    0f
01 00000000ffff8000 --  1    31    10
01 00000000ffffc000 --  1    32    11
01 00000000ffffe000 --  1    33    12
01 00000000fffff000 --  1    34    13
01 00000000fffff800 --  1    35    14
01 00000000fffffc00 --  1    36    15
01 00000000fffffe00 --  1    37    16
01 00000000ffffff00 --  1    38    17
01 00000000ffffff80 --  1    39    18
01 00000000ffffffc0 --  1    3a    19
01 00000000ffffffe0 --  1    3b    1a
01 00000000fffffff0 --  1    3c    1b
01 00000000fffffff8 --  1    3d    1c
01 00000000fffffffc --  1    3e    1d
01 00000000fffffffe --  1    3f    1e
01 00000000ffffffff --  1    00    1f
01 0000000100000000 --  1    20    00
02 0000000100000001 --  0    00    00
02 0000000100000001 --  0    20    00
01 0000000180000000 --  1    21    01
01 00000001c0000000 --  1    22    02
01 00000001e0000000 --  1    23    03
01 00000001f0000000 --  1    24    04
01 00000001f8000000 --  1    25    05
01 00000001fc000000 --  1    26    06
01 00000001fe000000 --  1    27    07
01 00000001ff000000 --  1    28    08
01 00000001ff800000 --  1    29    09
01 00000001ffc00000 --  1    2a    0a
01 00000001ffe00000 --  1    2b    0b
01 00000001fff00000 --  1    2c    0c
01 00000001fff80000 --  1    2d    0d
01 00000001fffc0000 --  1    2e    0e
01 00000001fffe0000 --  1    2f    0f
01 00000001ffff0000 --  1    30    10
01 00000001ffff8000 --  1    31    11
01 00000001ffffc000 --  1    32    12
01 00000001ffffe000 --  1    33    13
01 00000001fffff000 --  1    34    14
01 00000001fffff800 --  1    35    15
01 00000001fffffc00 --  1    36    16
01 00000001fffffe00 --  1    37    17
01 00000001ffffff00 --  1    38    18
01 00000001ffffff80 --  1    39    19
01 00000001ffffffc0 --  1    3a    1a
01 00000001ffffffe0 --  1    3b    1b
01 00000001fffffff0 --  1    3c    1c
01 00000001fffffff8 --  1    3d    1d
01 00000001fffffffc --  1    3e    1e
01 00000001fffffffe --  1    3f    1f
01 00000001ffffffff --  1    00    20
01 0000000200000000 --  1    1f    00
02 0000000200000002 --  0    1f    00
02 0000000200000002 --  0    3f    00
01 0000000300000000 --  1    20    01
02 0000000300000003 --  0    00    01
02 0000000300000003 --  0    20    01
01 0000000380000000 --  1    21    02
01 00000003c0000000 --  1    22    03
01 00000003e0000000 --  1    23    04
01 00000003f0000000 --  1    24    05
01 00000003f8000000 --  1    25    06
01 00000003fc000000 --  1    26    07
01 00000003fe000000 --  1    27    08
01 00000003ff000000 --  1    28    09
01 00000003ff800000 --  1    29    0a
01 00000003ffc00000 --  1    2a    0b
01 00000003ffe00000 --  1    2b    0c
01 00000003fff00000 --  1    2c    0d
01 00000003fff80000 --  1    2d    0e
01 00000003fffc0000 --  1    2e    0f
01 00000003fffe0000 --  1    2f    10
01 00000003ffff0000 --  1    30    11
01 00000003ffff8000 --  1    31    12
01 00000003ffffc000 --  1    32    13
01 00000003ffffe000 --  1    33    14
01 00000003fffff000 --  1    34    15
01 00000003fffff800 --  1    35    16
01 00000003fffffc00 --  1    36    17
01 00000003fffffe00 --  1    37    18
01 00000003ffffff00 --  1    38    19
01 00000003ffffff80 --  1    39    1a
01 00000003ffffffc0 --  1    3a    1b
01 00000003ffffffe0 --  1    3b    1c
01 00000003fffffff0 --  1    3c    1d
01 00000003fffffff8 --  1    3d    1e
01 00000003fffffffc --  1    3e    1f
01 00000003fffffffe --  1    3f    20
01 00000003ffffffff --  1    00    21
01 0000000400000000 --  1    1e    00
02 0000000400000004 --  0    1e    00
02 0000000400000004 --  0    3e    00
01 0000000600000000 --  1    1f    01
02 0000000600000006 --  0    1f    01
02 0000000600000006 --  0    3f    01
01 0000000700000000 --  1    20    02
02 0000000700000007 --  0    00    02
02 0000000700000007 --  0    20    02
01 0000000780000000 --  1    21    03
01 00000007c0000000 --  1    22    04
01 00000007e0000000 --  1    23    05
01 00000007f0000000 --  1    24    06
01 00000007f8000000 --  1    25    07
01 00000007fc000000 --  1    26    08
01 00000007fe000000 --  1    27    09
