## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
04 9fff9fff9fff9fff --  0    01    2d
04 9fff9fff9fff9fff --  0    11    2d
04 9fff9fff9fff9fff --  0    21    2d
04 9fff9fff9fff9fff --  0    31    2d
02 9fffffff9fffffff --  0    01    1d
02 9fffffff9fffffff --  0    21    1d
01 9fffffffffffffff --  1    01    3d
32 aaaaaaaaaaaaaaaa --  0    01    3c
32 aaaaaaaaaaaaaaaa --  0    03    3c
32 aaaaaaaaaaaaaaaa --  0    05    3c
32 aaaaaaaaaaaaaaaa --  0    07    3c
32 aaaaaaaaaaaaaaaa --  0    09    3c
32 aaaaaaaaaaaaaaaa --  0    0b    3c
32 aaaaaaaaaaaaaaaa --  0    0d    3c
32 aaaaaaaaaaaaaaaa --  0    0f    3c
32 aaaaaaaaaaaaaaaa --  0    11    3c
32 aaaaaaaaaaaaaaaa --  0    13    3c
32 aaaaaaaaaaaaaaaa --  0    15    3c
32 aaaaaaaaaaaaaaaa --  0    17    3c
32 aaaaaaaaaaaaaaaa --  0    19    3c
32 aaaaaaaaaaaaaaaa --  0    1b    3c
32 aaaaaaaaaaaaaaaa --  0    1d    3c
32 aaaaaaaaaaaaaaaa --  0    1f    3c
32 aaaaaaaaaaaaaaaa --  0    21    3c
32 aaaaaaaaaaaaaaaa --  0    23    3c
32 aaaaaaaaaaaaaaaa --  0    25    3c
32 aaaaaaaaaaaaaaaa --  0    27    3c
32 aaaaaaaaaaaaaaaa --  0    29    3c
32 aaaaaaaaaaaaaaaa --  0    2b    3c
32 aaaaaaaaaaaaaaaa --  0    2d    3c
32 aaaaaaaaaaaaaaaa --  0    2f    3c
32 aaaaaaaaaaaaaaaa --  0    31    3c
32 aaaaaaaaaaaaaaaa --  0    33    3c
32 aaaaaaaaaaaaaaaa --  0    35    3c
32 aaaaaaaaaaaaaaaa --  0    37    3c
32 aaaaaaaaaaaaaaaa --  0    39    3c
32 aaaaaaaaaaaaaaaa --  0    3b    3c
32 aaaaaaaaaaaaaaaa --  0    3d    3c
32 aaaaaaaaaaaaaaaa --  0    3f    3c
16 bbbbbbbbbbbbbbbb --  0    01    3a
16 bbbbbbbbbbbbbbbb --  0    05    3a
16 bbbbbbbbbbbbbbbb --  0    09    3a
16 bbbbbbbbbbbbbbbb --  0    0d    3a
16 bbbbbbbbbbbbbbbb --  0    11    3a
16 bbbbbbbbbbbbbbbb --  0    15    3a
16 bbbbbbbbbbbbbbbb --  0    19    3a
16 bbbbbbbbbbbbbbbb --  0    1d    3a
16 bbbbbbbbbbbbbbbb --  0    21    3a
16 bbbbbbbbbbbbbbbb --  0    25    3a
16 bbbbbbbbbbbbbbbb --  0    29    3a
16 bbbbbbbbbbbbbbbb --  0    2d    3a
16 bbbbbbbbbbbbbbbb --  0    31    3a
16 bbbbbbbbbbbbbbbb --  0    35    3a
16 bbbbbbbbbbbbbbbb --  0    39    3a
16 bbbbbbbbbbbbbbbb --  0    3d    3a
08 bfbfbfbfbfbfbfbf --  0    01    36
08 bfbfbfbfbfbfbfbf --  0    09    36
08 bfbfbfbfbfbfbfbf --  0    11    36
08 bfbfbfbfbfbfbfbf --  0    19    36
08 bfbfbfbfbfbfbfbf --  0    21    36
08 bfbfbfbfbfbfbfbf --  0    29    36
08 bfbfbfbfbfbfbfbf --  0    31    36
08 bfbfbfbfbfbfbfbf --  0    39    36
04 bfffbfffbfffbfff --  0    01    2e
04 bfffbfffbfffbfff --  0    11    2e
04 bfffbfffbfffbfff --  0    21    2e
04 bfffbfffbfffbfff --  0    31    2e
02 bfffffffbfffffff --  0    01    1e
02 bfffffffbfffffff --  0    21    1e
01 bfffffffffffffff --  1    01    3e
01 c000000000000000 --  1    02    01
01 c000000000000001 --  1    02    02
01 c000000000000003 --  1    02    03
01 c000000000000007 --  1    02    04
01 c00000000000000f --  1    02    05
01 c00000000000001f --  1    02    06
01 c00000000000003f --  1    02    07
01 c00000000000007f --  1    02    08
01 c0000000000000ff --  1    02    09
01 c0000000000001ff --  1    02    0a
01 c0000000000003ff --  1    02    0b
01 c0000000000007ff --  1    02    0c
01 c000000000000fff --  1    02    0d
01 c000000000001fff --  1    02    0e
01 c000000000003fff --  1    02    0f
01 c000000000007fff --  1    02    10
01 c00000000000ffff --  1    02    11
01 c00000000001ffff --  1    02    12
01 c00000000003ffff --  1    02    13
01 c00000000007ffff --  1    02    14
01 c0000000000fffff --  1    02    15
01 c0000000001fffff --  1    02    16
01 c0000000003fffff --  1    02    17
01 c0000000007fffff --  1    02    18
01 c000000000ffffff --  1    02    19
01 c000000001ffffff --  1    02    1a
01 c000000003ffffff --  1    02    1b
01 c000000007ffffff --  1    02    1c
01 c00000000fffffff --  1    02    1d
01 c00000001fffffff --  1    02    1e
01 c00000003fffffff --  1    02    1f
01 c00000007fffffff --  1    02    20
02 c0000000c0000000 --  0    02    01
02 c0000000c0000000 --  0    22    01
01 c0000000ffffffff --  1    02    21
02 c0000001c0000001 --  0    02    02
02 c0000001c0000001 --  0    22    02
01 c0000001ffffffff --  1    02    22
02 c0000003c0000003 --  0    02    03
02 c0000003c0000003 --  0    22    03
01 c0000003ffffffff --  1    02    23
02 c0000007c0000007 --  0    02    04
02 c0000007c0000007 --  0    22    04
01 c0000007ffffffff --  1    02    24
02 c000000fc000000f --  0    02    05
02 c000000fc000000f --  0    22    05
01 c000000fffffffff --  1    02    25
02 c000001fc000001f --  0    02    06
02 c000001fc000001f --  0    22    06
01 c000001fffffffff --  1    02    26
02 c000003fc000003f --  0    02    07
02 c000003fc000003f --  0    22    07
01 c000003fffffffff --  1    02    27
02 c000007fc000007f --  0    02    08
02 c000007fc000007f --  0    22    08
01 c000007fffffffff --  1    02    28
02 c00000ffc00000ff --  0    02    09
02 c00000ffc00000ff --  0    22    09
01 c00000ffffffffff --  1    02    29
02 c00001ffc00001ff --  0    02    0a
02 c00001ffc00001ff --  0    22    0a
01 c00001ffffffffff --  1    02    2a
02 c00003ffc00003ff --  0    02    0b
02 c00003ffc00003ff --  0    22    0b
01 c00003ffffffffff --  1    02    2b
02 c00007ffc00007ff --  0    02    0c
02 c00007ffc00007ff --  0    22    0c
01 c00007ffffffffff --  1    02    2c
02 c0000fffc0000fff --  0    02    0d
02 c0000fffc0000fff --  0    22    0d
01 c0000fffffffffff --  1    02    2d
02 c0001fffc0001fff --  0    02    0e
02 c0001fffc0001fff --  0    22    0e
01 c0001fffffffffff --  1    02    2e
02 c0003fffc0003fff --  0    02    0f
02 c0003fffc0003fff --  0    22    0f
01 c0003fffffffffff --  1    02    2f
02 c0007fffc0007fff --  0    02    10
02 c0007fffc0007fff --  0    22    10
01 c0007fffffffffff --  1    02    30
04 c000c000c000c000 --  0    02    21
04 c000c000c000c000 --  0    12    21
04 c000c000c000c000 --  0    22    21
04 c000c000c000c000 --  0    32    21
02 c000ffffc000ffff --  0    02    11
02 c000ffffc000ffff --  0    22    11
01 c000ffffffffffff --  1    02    31
04 c001c001c001c001 --  0    02    22
04 c001c001c001c001 --  0    12    22
04 c001c001c001c001 --  0    22    22
04 c001c001c001c001 --  0    32    22
02 c001ffffc001ffff --  0    02    12
02 c001ffffc001ffff --  0    22    12
01 c001ffffffffffff --  1    02    32
04 c003c003c003c003 --  0    02    23
04 c003c003c003c003 --  0    12    23
04 c003c003c003c003 --  0    22    23
04 c003c003c003c003 --  0    32    23
02 c003ffffc003ffff --  0    02    13
02 c003ffffc003ffff --  0    22    13
01 c003ffffffffffff --  1    02    33
04 c007c007c007c007 --  0    02    24
04 c007c007c007c007 --  0    12    24
04 c007c007c007c007 --  0    22    24
04 c007c007c007c007 --  0    32    24
02 c007ffffc007ffff --  0    02    14
02 c007ffffc007ffff --  0    22    14
01 c007ffffffffffff --  1    02    34
04 c00fc00fc00fc00f --  0    02    25
04 c00fc00fc00fc00f --  0    12    25
04 c00fc00fc00fc00f --  0    22    25
04 c00fc00fc00fc00f --  0    32    25
02 c00fffffc00fffff --  0    02    15
02 c00fffffc00fffff --  0    22    15
01 c00fffffffffffff --  1    02    35
04 c01fc01fc01fc01f --  0    02    26
04 c01fc01fc01fc01f --  0    12    26
04 c01fc01fc01fc01f --  0    22    26
04 c01fc01fc01fc01f --  0    32    26
02 c01fffffc01fffff --  0    02    16
02 c01fffffc01fffff --  0    22    16
01 c01fffffffffffff --  1    02    36
04 c03fc03fc03fc03f --  0    02    27
04 c03fc03fc03fc03f --  0    12    27
04 c03fc03fc03fc03f --  0    22    27
04 c03fc03fc03fc03f --  0    32    27
02 c03fffffc03fffff --  0    02    17
02 c03fffffc03fffff --  0    22    17
01 c03fffffffffffff --  1    02    37
04 c07fc07fc07fc07f --  0    02    28
04 c07fc07fc07fc07f --  0    12    28
04 c07fc07fc07fc07f --  0    22    28
04 c07fc07fc07fc07f --  0    32    28
02 c07fffffc07fffff --  0    02    18
02 c07fffffc07fffff --  0    22    18
01 c07fffffffffffff --  1    02    38
08 c0c0c0c0c0c0c0c0 --  0    02    31
08 c0c0c0c0c0c0c0c0 --  0    0a    31
08 c0c0c0c0c0c0c0c0 --  0    12    31
08 c0c0c0c0c0c0c0c0 --  0    1a    31
08 c0c0c0c0c0c0c0c0 --  0    22    31
08 c0c0c0c0c0c0c0c0 --  0    2a    31
08 c0c0c0c0c0c0c0c0 --  0    32    31
08 c0c0c0c0c0c0c0c0 --  0    3a    31
04 c0ffc0ffc0ffc0ff --  0    02    29
04 c0ffc0ffc0ffc0ff --  0    12    29
04 c0ffc0ffc0ffc0ff --  0    22    29
04 c0ffc0ffc0ffc0ff --  0    32    29
02 c0ffffffc0ffffff --  0    02    19
02 c0ffffffc0ffffff --  0    22    19
01 c0ffffffffffffff --  1    02    39
08 c1c1c1c1c1c1c1c1 --  0    02    32
08 c1c1c1c1c1c1c1c1 --  0    0a    32
08 c1c1c1c1c1c1c1c1 --  0    12    32
08 c1c1c1c1c1c1c1c1 --  0    1a    32
08 c1c1c1c1c1c1c1c1 --  0    22    32
08 c1c1c1c1c1c1c1c1 --  0    2a    32
08 c1c1c1c1c1c1c1c1 --  0    32    32
08 c1c1c1c1c1c1c1c1 --  0    3a    32
04 c1ffc1ffc1ffc1ff --  0    02    2a
04 c1ffc1ffc1ffc1ff --  0    12    2a
04 c1ffc1ffc1ffc1ff --  0    22    2a
04 c1ffc1ffc1ffc1ff --  0    32    2a
02 c1ffffffc1ffffff --  0    02    1a
02 c1ffffffc1ffffff --  0    22    1a
01 c1ffffffffffffff --  1    02    3a
08 c3c3c3c3c3c3c3c3 --  0    02    33
08 c3c3c3c3c3c3c3c3 --  0    0a    33
08 c3c3c3c3c3c3c3c3 --  0    12    33
08 c3c3c3c3c3c3c3c3 --  0    1a    33
08 c3c3c3c3c3c3c3c3 --  0    22    33
08 c3c3c3c3c3c3c3c3 --  0    2a    33
08 c3c3c3c3c3c3c3c3 --  0    32    33
08 c3c3c3c3c3c3c3c3 --  0    3a    33
04 c3ffc3ffc3ffc3ff --  0    02    2b
04 c3ffc3ffc3ffc3ff --  0    12    2b
04 c3ffc3ffc3ffc3ff --  0    22    2b
04 c3ffc3ffc3ffc3ff --  0    32    2b
02 c3ffffffc3ffffff --  0    02    1b
02 c3ffffffc3ffffff --  0    22    1b
01 c3ffffffffffffff --  1    02    3b
08 c7c7c7c7c7c7c7c7 --  0    02    34
08 c7c7c7c7c7c7c7c7 --  0    0a    34
08 c7c7c7c7c7c7c7c7 --  0    12    34
08 c7c7c7c7c7c7c7c7 --  0    1a    34
08 c7c7c7c7c7c7c7c7 --  0    22    34
08 c7c7c7c7c7c7c7c7 --  0    2a    34
08 c7c7c7c7c7c7c7c7 --  0    32    34
08 c7c7c7c7c7c7c7c7 --  0    3a    34
04 c7ffc7ffc7ffc7ff --  0    02    2c
04 c7ffc7ffc7ffc7ff --  0    12    2c
04 c7ffc7ffc7ffc7ff --  0    22    2c
04 c7ffc7ffc7ffc7ff --  0    32    2c
02 c7ffffffc7ffffff --  0    02    1c
02 c7ffffffc7ffffff --  0    22    1c
01 c7ffffffffffffff --  1    02    3c
16 cccccccccccccccc --  0    02    39
16 cccccccccccccccc --  0    06    39
16 cccccccccccccccc --  0    0a    39
16 cccccccccccccccc --  0    0e    39
16 cccccccccccccccc --  0    12    39
16 cccccccccccccccc --  0    16    39
16 cccccccccccccccc --  0    1a    39
16 cccccccccccccccc --  0    1e    39
16 cccccccccccccccc --  0    22    39
16 cccccccccccccccc --  0    26    39
16 cccccccccccccccc --  0    2a    39
16 cccccccccccccccc --  0    2e    39
16 cccccccccccccccc --  0    32    39
16 cccccccccccccccc --  0    36    39
16 cccccccccccccccc --  0    3a    39
16 cccccccccccccccc --  0    3e    39
08 cfcfcfcfcfcfcfcf --  0    02    35
08 cfcfcfcfcfcfcfcf --  0    0a    35
08 cfcfcfcfcfcfcfcf --  0    12    35
08 cfcfcfcfcfcfcfcf --  0    1a    35
08 cfcfcfcfcfcfcfcf --  0    22    35
08 cfcfcfcfcfcfcfcf --  0    2a    35
08 cfcfcfcfcfcfcfcf --  0    32    35
08 cfcfcfcfcfcfcfcf --  0    3a    35
04 cfffcfffcfffcfff --  0    02    2d
04 cfffcfffcfffcfff --  0    12    2d
04 cfffcfffcfffcfff --  0    22    2d
04 cfffcfffcfffcfff --  0    32    2d
02 cfffffffcfffffff --  0    02    1d
02 cfffffffcfffffff --  0    22    1d
01 cfffffffffffffff --  1    02    3d
16 dddddddddddddddd --  0    02    3a
16 dddddddddddddddd --  0    06    3a
16 dddddddddddddddd --  0    0a    3a
16 dddddddddddddddd --  0    0e    3a
16 dddddddddddddddd --  0    12    3a
16 dddddddddddddddd --  0    16    3a
16 dddddddddddddddd --  0    1a    3a
16 dddddddddddddddd --  0    1e    3a
16 dddddddddddddddd --  0    22    3a
16 dddddddddddddddd --  0    26    3a
16 dddddddddddddddd --  0    2a    3a
16 dddddddddddddddd --  0    2e    3a
16 dddddddddddddddd --  0    32    3a
16 dddddddddddddddd --  0    36    3a
16 dddddddddddddddd --  0    3a    3a
16 dddddddddddddddd --  0    3e    3a
08 dfdfdfdfdfdfdfdf --  0    02    36
08 dfdfdfdfdfdfdfdf --  0    0a    36
08 dfdfdfdfdfdfdfdf --  0    12    36
08 dfdfdfdfdfdfdfdf --  0    1a    36
08 dfdfdfdfdfdfdfdf --  0    22    36
08 dfdfdfdfdfdfdfdf --  0    2a    36
08 dfdfdfdfdfdfdfdf --  0    32    36
08 dfdfdfdfdfdfdfdf --  0    3a    36
04 dfffdfffdfffdfff --  0    02    2e
04 dfffdfffdfffdfff --  0    12    2e
04 dfffdfffdfffdfff --  0    22    2e
04 dfffdfffdfffdfff --  0    32    2e
02 dfffffffdfffffff --  0    02    1e
02 dfffffffdfffffff --  0    22    1e
01 dfffffffffffffff --  1    02    3e
01 e000000000000000 --  1    03    02
01 e000000000000001 --  1    03    03
01 e000000000000003 --  1    03    04
01 e000000000000007 --  1    03    05
01 e00000000000000f --  1    03    06
01 e00000000000001f --  1    03    07
01 e00000000000003f --  1    03    08
01 e00000000000007f --  1    03    09
01 e0000000000000ff --  1    03    0a
01 e0000000000001ff --  1    03    0b
01 e0000000000003ff --  1    03    0c
01 e0000000000007ff --  1    03    0d
01 e000000000000fff --  1    03    0e
01 e000000000001fff --  1    03    0f
01 e000000000003fff --  1    03    10
01 e000000000007fff --  1    03    11
01 e00000000000ffff --  1    03    12
01 e00000000001ffff --  1    03    13
01 e00000000003ffff --  1    03    14
01 e00000000007ffff --  1    03    15
01 e0000000000fffff --  1    03    16
01 e0000000001fffff --  1    03    17
01 e0000000003fffff --  1    03    18
01 e0000000007fffff --  1    03    19
01 e000000000ffffff --  1    03    1a
01 e000000001ffffff --  1    03    1b
01 e000000003ffffff --  1    03    1c
01 e000000007ffffff --  1    03    1d
01 e00000000fffffff --  1    03    1e
01 e00000001fffffff --  1    03    1f
01 e00000003fffffff --  1    03    20
01 e00000007fffffff --  1    03    21
02 e0000000e0000000 --  0    03    02
02 e0000000e0000000 --  0    23    02
01 e0000000ffffffff --  1    03    22
02 e0000001e0000001 --  0    03    03
02 e0000001e0000001 --  0    23    03
01 e0000001ffffffff --  1    03    23
02 e0000003e0000003 --  0    03    04
02 e0000003e0000003 --  0    23    04
01 e0000003ffffffff --  1    03    24
02 e0000007e0000007 --  0    03    05
02 e0000007e0000007 --  0    23    05
01 e0000007ffffffff --  1    03    25
02 e000000fe000000f --  0    03    06
02 e000000fe000000f --  0    23    06
01 e000000fffffffff --  1    03    26
02 e000001fe000001f --  0    03    07
02 e000001fe000001f --  0    23    07
01 e000001fffffffff --  1    03    27
02 e000003fe000003f --  0    03    08
02 e000003fe000003f --  0    23    08
01 e000003fffffffff --  1    03    28
02 e000007fe000007f --  0    03    09
02 e000007fe000007f --  0    23    09
01 e000007fffffffff --  1    03    29
02 e00000ffe00000ff --  0    03    0a
02 e00000ffe00000ff --  0    23    0a
01 e00000ffffffffff --  1    03    2a
02 e00001ffe00001ff --  0    03    0b
02 e00001ffe00001ff --  0    23    0b
01 e00001ffffffffff --  1    03    2b
02 e00003ffe00003ff --  0    03    0c
02 e00003ffe00003ff --  0    23    0c
01 e00003ffffffffff --  1    03    2c
02 e00007ffe00007ff --  0    03    0d
02 e00007ffe00007ff --  0    23    0d
01 e00007ffffffffff --  1    03    2d
02 e0000fffe0000fff --  0    03    0e
02 e0000fffe0000fff --  0    23    0e
01 e0000fffffffffff --  1    03    2e
02 e0001fffe0001fff --  0    03    0f
02 e0001fffe0001fff --  0    23    0f
01 e0001fffffffffff --  1    03    2f
02 e0003fffe0003fff --  0    03    10
02 e0003fffe0003fff --  0    23    10
01 e0003fffffffffff --  1    03    30
02 e0007fffe0007fff --  0    03    11
02 e0007fffe0007fff --  0    23    11
01 e0007fffffffffff --  1    03    31
04 e000e000e000e000 --  0    03    22
04 e000e000e000e000 --  0    13    22
04 e000e000e000e000 --  0    23    22
04 e000e000e000e000 --  0    33    22
02 e000ffffe000ffff --  0    03    12
02 e000ffffe000ffff --  0    23    12
01 e000ffffffffffff --  1    03    32
04 e001e001e001e001 --  0    03    23
04 e001e001e001e001 --  0    13    23
04 e001e001e001e001 --  0    23    23
04 e001e001e001e001 --  0    33    23
02 e001ffffe001ffff --  0    03    13
02 e001ffffe001ffff --  0    23    13
01 e001ffffffffffff --  1    03    33
04 e003e003e003e003 --  0    03    24
04 e003e003e003e003 --  0    13    24
04 e003e003e003e003 --  0    23    24
04 e003e003e003e003 --  0    33    24
02 e003ffffe003ffff --  0    03    14
02 e003ffffe003ffff --  0    23    14
01 e003ffffffffffff --  1    03    34
04 e007e007e007e007 --  0    03    25
04 e007e007e007e007 --  0    13    25
04 e007e007e007e007 --  0    23    25
04 e007e007e007e007 --  0    33    25
02 e007ffffe007ffff --  0    03    15
02 e007ffffe007ffff --  0    23    15
01 e007ffffffffffff --  1    03    35
04 e00fe00fe00fe00f --  0    03    26
04 e00fe00fe00fe00f --  0    13    26
04 e00fe00fe00fe00f --  0    23    26
04 e00fe00fe00fe00f --  0    33    26
02 e00fffffe00fffff --  0    03    16
02 e00fffffe00fffff --  0    23    16
01 e00fffffffffffff --  1    03    36
04 e01fe01fe01fe01f --  0    03    27
04 e01fe01fe01fe01f --  0    13    27
04 e01fe01fe01fe01f --  0    23    27
04 e01fe01fe01fe01f --  0    33    27
02 e01fffffe01fffff --  0    03    17
02 e01fffffe01fffff --  0    23    17
01 e01fffffffffffff --  1    03    37
04 e03fe03fe03fe03f --  0    03    28
04 e03fe03fe03fe03f --  0    13    28
04 e03fe03fe03fe03f --  0    23    28
04 e03fe03fe03fe03f --  0    33    28
02 e03fffffe03fffff --  0    03    18
02 e03fffffe03fffff --  0    23    18
01 e03fffffffffffff --  1    03    38
04 e07fe07fe07fe07f --  0    03    29
04 e07fe07fe07fe07f --  0    13    29
04 e07fe07fe07fe07f --  0    23    29
04 e07fe07fe07fe07f --  0    33    29
02 e07fffffe07fffff --  0    03    19
02 e07fffffe07fffff --  0    23    19
01 e07fffffffffffff --  1    03    39
08 e0e0e0e0e0e0e0e0 --  0    03    32
08 e0e0e0e0e0e0e0e0 --  0    0b    32
08 e0e0e0e0e0e0e0e0 --  0    13    32
08 e0e0e0e0e0e0e0e0 --  0    1b    32
08 e0e0e0e0e0e0e0e0 --  0    23    32
08 e0e0e0e0e0e0e0e0 --  0    2b    32
08 e0e0e0e0e0e0e0e0 --  0    33    32
08 e0e0e0e0e0e0e0e0 --  0    3b    32
04 e0ffe0ffe0ffe0ff --  0    03    2a
04 e0ffe0ffe0ffe0ff --  0    13    2a
04 e0ffe0ffe0ffe0ff --  0    23    2a
04 e0ffe0ffe0ffe0ff --  0    33    2a
02 e0ffffffe0ffffff --  0    03    1a
02 e0ffffffe0ffffff --  0    23    1a
01 e0ffffffffffffff --  1    03    3a
08 e1e1e1e1e1e1e1e1 --  0    03    33
08 e1e1e1e1e1e1e1e1 --  0    0b    33
08 e1e1e1e1e1e1e1e1 --  0    13    33
08 e1e1e1e1e1e1e1e1 --  0    1b    33
08 e1e1e1e1e1e1e1e1 --  0    23    33
08 e1e1e1e1e1e1e1e1 --  0    2b    33
08 e1e1e1e1e1e1e1e1 --  0    33    33
08 e1e1e1e1e1e1e1e1 --  0    3b    33
04 e1ffe1ffe1ffe1ff --  0    03    2b
04 e1ffe1ffe1ffe1ff --  0    13    2b
04 e1ffe1ffe1ffe1ff --  0    23    2b
04 e1ffe1ffe1ffe1ff --  0    33    2b
02 e1ffffffe1ffffff --  0    03    1b
02 e1ffffffe1ffffff --  0    23    1b
01 e1ffffffffffffff --  1    03    3b
08 e3e3e3e3e3e3e3e3 --  0    03    34
08 e3e3e3e3e3e3e3e3 --  0    0b    34
08 e3e3e3e3e3e3e3e3 --  0    13    34
08 e3e3e3e3e3e3e3e3 --  0    1b    34
08 e3e3e3e3e3e3e3e3 --  0    23    34
08 e3e3e3e3e3e3e3e3 --  0    2b    34
08 e3e3e3e3e3e3e3e3 --  0    33    34
08 e3e3e3e3e3e3e3e3 --  0    3b    34
04 e3ffe3ffe3ffe3ff --  0    03    2c
04 e3ffe3ffe3ffe3ff --  0    13    2c
04 e3ffe3ffe3ffe3ff --  0    23    2c
04 e3ffe3ffe3ffe3ff --  0    33    2c
02 e3ffffffe3ffffff --  0    03    1c
02 e3ffffffe3ffffff --  0    23    1c
01 e3ffffffffffffff --  1    03    3c
08 e7e7e7e7e7e7e7e7 --  0    03    35
08 e7e7e7e7e7e7e7e7 --  0    0b    35
08 e7e7e7e7e7e7e7e7 --  0    13    35
08 e7e7e7e7e7e7e7e7 --  0    1b    35
08 e7e7e7e7e7e7e7e7 --  0    23    35
08 e7e7e7e7e7e7e7e7 --  0    2b    35
08 e7e7e7e7e7e7e7e7 --  0    33    35
08 e7e7e7e7e7e7e7e7 --  0    3b    35
04 e7ffe7ffe7ffe7ff --  0    03    2d
04 e7ffe7ffe7ffe7ff --  0    13    2d
04 e7ffe7ffe7ffe7ff --  0    23    2d
04 e7ffe7ffe7ffe7ff --  0    33    2d
02 e7ffffffe7ffffff --  0    03    1d
02 e7ffffffe7ffffff --  0    23    1d
01 e7ffffffffffffff --  1    03    3d
16 eeeeeeeeeeeeeeee --  0    03    3a
16 eeeeeeeeeeeeeeee --  0    07    3a
16 eeeeeeeeeeeeeeee --  0    0b    3a
16 eeeeeeeeeeeeeeee --  0    0f    3a
16 eeeeeeeeeeeeeeee --  0    13    3a
16 eeeeeeeeeeeeeeee --  0    17    3a
16 eeeeeeeeeeeeeeee --  0    1b    3a
16 eeeeeeeeeeeeeeee --  0    1f    3a
16 eeeeeeeeeeeeeeee --  0    23    3a
16 eeeeeeeeeeeeeeee --  0    27    3a
16 eeeeeeeeeeeeeeee --  0    2b    3a
16 eeeeeeeeeeeeeeee --  0    2f    3a
16 eeeeeeeeeeeeeeee --  0    33    3a
16 eeeeeeeeeeeeeeee --  0    37    3a
16 eeeeeeeeeeeeeeee --  0    3b    3a
16 eeeeeeeeeeeeeeee --  0    3f    3a
08 efefefefefefefef --  0    03    36
08 efefefefefefefef --  0    0b    36
08 efefefefefefefef --  0    13    36
08 efefefefefefefef --  0    1b    36
08 efefefefefefefef --  0    23    36
08 efefefefefefefef --  0    2b    36
08 efefefefefefefef --  0    33    36
08 efefefefefefefef --  0    3b    36
04 efffefffefffefff --  0    03    2e
04 efffefffefffefff --  0    13    2e
04 efffefffefffefff --  0    23    2e
04 efffefffefffefff --  0    33    2e
02 efffffffefffffff --  0    03    1e
02 efffffffefffffff --  0    23    1e
01 efffffffffffffff --  1    03    3e
01 f000000000000000 --  1    04    03
01 f000000000000001 --  1    04    04
01 f000000000000003 --  1    04    05
01 f000000000000007 --  1    04    06
01 f00000000000000f --  1    04    07
01 f00000000000001f --  1    04    08
01 f00000000000003f --  1    04    09
01 f00000000000007f --  1    04    0a
01 f0000000000000ff --  1    04    0b
01 f0000000000001ff --  1    04    0c
01 f0000000000003ff --  1    04    0d
01 f0000000000007ff --  1    04    0e
01 f000000000000fff --  1    04    0f
01 f000000000001fff --  1    04    10
01 f000000000003fff --  1    04    11
01 f000000000007fff --  1    04    12
01 f00000000000ffff --  1    04    13
01 f00000000001ffff --  1    04    14
01 f00000000003ffff --  1    04    15
01 f00000000007ffff --  1    04    16
01 f0000000000fffff --  1    04    17
01 f0000000001fffff --  1    04    18
01 f0000000003fffff --  1    04    19
01 f0000000007fffff --  1    04    1a
01 f000000000ffffff --  1    04    1b
01 f000000001ffffff --  1    04    1c
01 f000000003ffffff --  1    04    1d
01 f000000007ffffff --  1    04    1e
01 f00000000fffffff --  1    04    1f
01 f00000001fffffff --  1    04    20
01 f00000003fffffff --  1    04    21
01 f00000007fffffff --  1    04    22
02 f0000000f0000000 --  0    04    03
02 f0000000f0000000 --  0    24    03
01 f0000000ffffffff --  1    04    23
02 f0000001f0000001 --  0    04    04
02 f0000001f0000001 --  0    24    04
01 f0000001ffffffff --  1    04    24
02 f0000003f0000003 --  0    04    05
02 f0000003f0000003 --  0    24    05
01 f0000003ffffffff --  1    04    25
02 f0000007f0000007 --  0    04    06
02 f0000007f0000007 --  0    24    06
01 f0000007ffffffff --  1    04    26
02 f000000ff000000f --  0    04    07
02 f000000ff000000f --  0    24    07
01 f000000fffffffff --  1    04    27
02 f000001ff000001f --  0    04    08
02 f000001ff000001f --  0    24    08
01 f000001fffffffff --  1    04    28
02 f000003ff000003f --  0    04    09
02 f000003ff000003f --  0    24    09
01 f000003fffffffff --  1    04    29
02 f000007ff000007f --  0    04    0a
02 f000007ff000007f --  0    24    0a
01 f000007fffffffff --  1    04    2a
02 f00000fff00000ff --  0    04    0b
02 f00000fff00000ff --  0    24    0b
01 f00000ffffffffff --  1    04    2b
02 f00001fff00001ff --  0    04    0c
02 f00001fff00001ff --  0    24    0c
01 f00001ffffffffff --  1    04    2c
02 f00003fff00003ff --  0    04    0d
02 f00003fff00003ff --  0    24    0d
01 f00003ffffffffff --  1    04    2d
02 f00007fff00007ff --  0    04    0e
02 f00007fff00007ff --  0    24    0e
01 f00007ffffffffff --  1    04    2e
02 f0000ffff0000fff --  0    04    0f
02 f0000ffff0000fff --  0    24    0f
01 f0000fffffffffff --  1    04    2f
02 f0001ffff0001fff --  0    04    10
02 f0001ffff0001fff --  0    24    10
01 f0001fffffffffff --  1    04    30
02 f0003ffff0003fff --  0    04    11
02 f0003ffff0003fff --  0    24    11
01 f0003fffffffffff --  1    04    31
02 f0007ffff0007fff --  0    04    12
02 f0007ffff0007fff --  0    24    12
01 f0007fffffffffff --  1    04    32
04 f000f000f000f000 --  0    04    23
04 f000f000f000f000 --  0    14    23
04 f000f000f000f000 --  0    24    23
04 f000f000f000f000 --  0    34    23
02 f000fffff000ffff --  0    04    13
02 f000fffff000ffff --  0    24    13
01 f000ffffffffffff --  1    04    33
