Created Pattern  ##     N   immr  imms
0001fffff8000000 01 --  1    25    15
0001fffffc000000 01 --  1    26    16
0001fffffe000000 01 --  1    27    17
0001ffffff000000 01 --  1    28    18
0001ffffff800000 01 --  1    29    19
0001ffffffc00000 01 --  1    2a    1a
0001ffffffe00000 01 --  1    2b    1b
0001fffffff00000 01 --  1    2c    1c
0001fffffff80000 01 --  1    2d    1d
0001fffffffc0000 01 --  1    2e    1e
0001fffffffe0000 01 --  1    2f    1f
0001ffffffff0000 01 --  1    30    20
0001ffffffff8000 01 --  1    31    21
0001ffffffffc000 01 --  1    32    22
0001ffffffffe000 01 --  1    33    23
0001fffffffff000 01 --  1    34    24
0001fffffffff800 01 --  1    35    25
0001fffffffffc00 01 --  1    36    26
0001fffffffffe00 01 --  1    37    27
0001ffffffffff00 01 --  1    38    28
0001ffffffffff80 01 --  1    39    29
0001ffffffffffc0 01 --  1    3a    2a
0001ffffffffffe0 01 --  1    3b    2b
0001fffffffffff0 01 --  1    3c    2c
0001fffffffffff8 01 --  1    3d    2d
0001fffffffffffc 01 --  1    3e    2e
0001fffffffffffe 01 --  1    3f    2f
0001ffffffffffff 01 --  1    00    30
0002000000000000 01 --  1    0f    00
0002000000020000 02 --  0    0f    00
0002000000020000 02 --  0    2f    00
0002000200020002 04 --  0    0f    20
0002000200020002 04 --  0    1f    20
0002000200020002 04 --  0    2f    20
0002000200020002 04 --  0    3f    20
0003000000000000 01 --  1    10    01
0003000000030000 02 --  0    10    01
0003000000030000 02 --  0    30    01
0003000300030003 04 --  0    00    21
0003000300030003 04 --  0    10    21
0003000300030003 04 --  0    20    21
0003000300030003 04 --  0    30    21
0003800000000000 01 --  1    11    02
0003800000038000 02 --  0    11    02
0003800000038000 02 --  0    31    02
0003c00000000000 01 --  1    12    03
0003c0000003c000 02 --  0    12    03
0003c0000003c000 02 --  0    32    03
0003e00000000000 01 --  1    13    04
0003e0000003e000 02 --  0    13    04
0003e0000003e000 02 --  0    33    04
0003f00000000000 01 --  1    14    05
0003f0000003f000 02 --  0    14    05
0003f0000003f000 02 --  0    34    05
0003f80000000000 01 --  1    15    06
0003f8000003f800 02 --  0    15    06
0003f8000003f800 02 --  0    35    06
0003fc0000000000 01 --  1    16    07
0003fc000003fc00 02 --  0    16    07
0003fc000003fc00 02 --  0    36    07
0003fe0000000000 01 --  1    17    08
0003fe000003fe00 02 --  0    17    08
0003fe000003fe00 02 --  0    37    08
0003ff0000000000 01 --  1    18    09
0003ff000003ff00 02 --  0    18    09
0003ff000003ff00 02 --  0    38    09
0003ff8000000000 01 --  1    19    0a
0003ff800003ff80 02 --  0    19    0a
0003ff800003ff80 02 --  0    39    0a
0003ffc000000000 01 --  1    1a    0b
0003ffc00003ffc0 02 --  0    1a    0b
0003ffc00003ffc0 02 --  0    3a    0b
0003ffe000000000 01 --  1    1b    0c
0003ffe00003ffe0 02 --  0    1b    0c
0003ffe00003ffe0 02 --  0    3b    0c
0003fff000000000 01 --  1    1c    0d
0003fff00003fff0 02 --  0    1c    0d
0003fff00003fff0 02 --  0    3c    0d
0003fff800000000 01 --  1    1d    0e
0003fff80003fff8 02 --  0    1d    0e
0003fff80003fff8 02 --  0    3d    0e
0003fffc00000000 01 --  1    1e    0f
0003fffc0003fffc 02 --  0    1e    0f
0003fffc0003fffc 02 --  0    3e    0f
0003fffe00000000 01 --  1    1f    10
0003fffe0003fffe 02 --  0    1f    10
0003fffe0003fffe 02 --  0    3f    10
0003ffff00000000 01 --  1    20    11
0003ffff0003ffff 02 --  0    00    11
0003ffff0003ffff 02 --  0    20    11
0003ffff80000000 01 --  1    21    12
0003ffffc0000000 01 --  1    22    13
0003ffffe0000000 01 --  1    23    14
0003fffff0000000 01 --  1    24    15
0003fffff8000000 01 --  1    25    16
0003fffffc000000 01 --  1    26    17
0003fffffe000000 01 --  1    27    18
0003ffffff000000 01 --  1    28    19
0003ffffff800000 01 --  1    29    1a
0003ffffffc00000 01 --  1    2a    1b
0003ffffffe00000 01 --  1    2b    1c
0003fffffff00000 01 --  1    2c    1d
0003fffffff80000 01 --  1    2d    1e
0003fffffffc0000 01 --  1    2e    1f
0003fffffffe0000 01 --  1    2f    20
0003ffffffff0000 01 --  1    30    21
0003ffffffff8000 01 --  1    31    22
0003ffffffffc000 01 --  1    32    23
0003ffffffffe000 01 --  1    33    24
0003fffffffff000 01 --  1    34    25
0003fffffffff800 01 --  1    35    26
0003fffffffffc00 01 --  1    36    27
0003fffffffffe00 01 --  1    37    28
0003ffffffffff00 01 --  1    38    29
0003ffffffffff80 01 --  1    39    2a
0003ffffffffffc0 01 --  1    3a    2b
0003ffffffffffe0 01 --  1    3b    2c
0003fffffffffff0 01 --  1    3c    2d
0003fffffffffff8 01 --  1    3d    2e
0003fffffffffffc 01 --  1    3e    2f
0003fffffffffffe 01 --  1    3f    30
0003ffffffffffff 01 --  1    00    31
0004000000000000 01 --  1    0e    00
0004000000040000 02 --  0    0e    00
0004000000040000 02 --  0    2e    00
0004000400040004 04 --  0    0e    20
0004000400040004 04 --  0    1e    20
0004000400040004 04 --  0    2e    20
0004000400040004 04 --  0    3e    20
0006000000000000 01 --  1    0f    01
0006000000060000 02 --  0    0f    01
0006000000060000 02 --  0    2f    01
0006000600060006 04 --  0    0f    21
0006000600060006 04 --  0    1f    21
0006000600060006 04 --  0    2f    21
0006000600060006 04 --  0    3f    21
0007000000000000 01 --  1    10    02
0007000000070000 02 --  0    10    02
0007000000070000 02 --  0    30    02
0007000700070007 04 --  0    00    22
0007000700070007 04 --  0    10    22
0007000700070007 04 --  0    20    22
0007000700070007 04 --  0    30    22
0007800000000000 01 --  1    11    03
0007800000078000 02 --  0    11    03
0007800000078000 02 --  0    31    03
0007c00000000000 01 --  1    12    04
0007c0000007c000 02 --  0    12    04
0007c0000007c000 02 --  0    32    04
0007e00000000000 01 --  1    13    05
0007e0000007e000 02 --  0    13    05
0007e0000007e000 02 --  0    33    05
0007f00000000000 01 --  1    14    06
0007f0000007f000 02 --  0    14    06
0007f0000007f000 02 --  0    34    06
0007f80000000000 01 --  1    15    07
0007f8000007f800 02 --  0    15    07
0007f8000007f800 02 --  0    35    07
0007fc0000000000 01 --  1    16    08
0007fc000007fc00 02 --  0    16    08
0007fc000007fc00 02 --  0    36    08
0007fe0000000000 01 --  1    17    09
0007fe000007fe00 02 --  0    17    09
0007fe000007fe00 02 --  0    37    09
0007ff0000000000 01 --  1    18    0a
0007ff000007ff00 02 --  0    18    0a
0007ff000007ff00 02 --  0    38    0a
0007ff8000000000 01 --  1    19    0b
0007ff800007ff80 02 --  0    19    0b
0007ff800007ff80 02 --  0    39    0b
0007ffc000000000 01 --  1    1a    0c
0007ffc00007ffc0 02 --  0    1a    0c
0007ffc00007ffc0 02 --  0    3a    0c
0007ffe000000000 01 --  1    1b    0d
0007ffe00007ffe0 02 --  0    1b    0d
0007ffe00007ffe0 02 --  0    3b    0d
0007fff000000000 01 --  1    1c    0e
0007fff00007fff0 02 --  0    1c    0e
0007fff00007fff0 02 --  0    3c    0e
0007fff800000000 01 --  1    1d    0f
0007fff80007fff8 02 --  0    1d    0f
0007fff80007fff8 02 --  0    3d    0f
0007fffc00000000 01 --  1    1e    10
0007fffc0007fffc 02 --  0    1e    10
0007fffc0007fffc 02 --  0    3e    10
0007fffe00000000 01 --  1    1f    11
0007fffe0007fffe 02 --  0    1f    11
0007fffe0007fffe 02 --  0    3f    11
0007ffff00000000 01 --  1    20    12
0007ffff0007ffff 02 --  0    00    12
0007ffff0007ffff 02 --  0    20    12
0007ffff80000000 01 --  1    21    13
0007ffffc0000000 01 --  1    22    14
0007ffffe0000000 01 --  1    23    15
0007fffff0000000 01 --  1    24    16
0007fffff8000000 01 --  1    25    17
0007fffffc000000 01 --  1    26    18
0007fffffe000000 01 --  1    27    19
0007ffffff000000 01 --  1    28    1a
0007ffffff800000 01 --  1    29    1b
0007ffffffc00000 01 --  1    2a    1c
0007ffffffe00000 01 --  1    2b    1d
0007fffffff00000 01 --  1    2c    1e
0007fffffff80000 01 --  1    2d    1f
0007fffffffc0000 01 --  1    2e    20
0007fffffffe0000 01 --  1    2f    21
0007ffffffff0000 01 --  1    30    22
0007ffffffff8000 01 --  1    31    23
0007ffffffffc000 01 --  1    32    24
0007ffffffffe000 01 --  1    33    25
0007fffffffff000 01 --  1    34    26
0007fffffffff800 01 --  1    35    27
0007fffffffffc00 01 --  1    36    28
0007fffffffffe00 01 --  1    37    29
0007ffffffffff00 01 --  1    38    2a
0007ffffffffff80 01 --  1    39    2b
0007ffffffffffc0 01 --  1    3a    2c
0007ffffffffffe0 01 --  1    3b    2d
0007fffffffffff0 01 --  1    3c    2e
0007fffffffffff8 01 --  1    3d    2f
0007fffffffffffc 01 --  1    3e    30
0007fffffffffffe 01 --  1    3f    31
0007ffffffffffff 01 --  1    00    32
0008000000000000 01 --  1    0d    00
0008000000080000 02 --  0    0d    00
0008000000080000 02 --  0    2d    00
0008000800080008 04 --  0    0d    20
0008000800080008 04 --  0    1d    20
0008000800080008 04 --  0    2d    20
0008000800080008 04 --  0    3d    20
000c000000000000 01 --  1    0e    01
000c0000000c0000 02 --  0    0e    01
000c0000000c0000 02 --  0    2e    01
000c000c000c000c 04 --  0    0e    21
000c000c000c000c 04 --  0    1e    21
000c000c000c000c 04 --  0    2e    21
000c000c000c000c 04 --  0    3e    21
000e000000000000 01 --  1    0f    02
000e0000000e0000 02 --  0    0f    02
000e0000000e0000 02 --  0    2f    02
000e000e000e000e 04 --  0    0f    22
000e000e000e000e 04 --  0    1f    22
000e000e000e000e 04 --  0    2f    22
000e000e000e000e 04 --  0    3f    22
000f000000000000 01 --  1    10    03
000f0000000f0000 02 --  0    10    03
000f0000000f0000 02 --  0    30    03
000f000f000f000f 04 --  0    00    23
000f000f000f000f 04 --  0    10    23
000f000f000f000f 04 --  0    20    23
000f000f000f000f 04 --  0    30    23
000f800000000000 01 --  1    11    04
000f8000000f8000 02 --  0    11    04
000f8000000f8000 02 --  0    31    04
000fc00000000000 01 --  1    12    05
000fc000000fc000 02 --  0    12    05
000fc000000fc000 02 --  0    32    05
000fe00000000000 01 --  1    13    06
000fe000000fe000 02 --  0    13    06
000fe000000fe000 02 --  0    33    06
000ff00000000000 01 --  1    14    07
000ff000000ff000 02 --  0    14    07
000ff000000ff000 02 --  0    34    07
000ff80000000000 01 --  1    15    08
000ff800000ff800 02 --  0    15    08
000ff800000ff800 02 --  0    35    08
000ffc0000000000 01 --  1    16    09
000ffc00000ffc00 02 --  0    16    09
000ffc00000ffc00 02 --  0    36    09
000ffe0000000000 01 --  1    17    0a
000ffe00000ffe00 02 --  0    17    0a
000ffe00000ffe00 02 --  0    37    0a
000fff0000000000 01 --  1    18    0b
000fff00000fff00 02 --  0    18    0b
000fff00000fff00 02 --  0    38    0b
000fff8000000000 01 --  1    19    0c
000fff80000fff80 02 --  0    19    0c
000fff80000fff80 02 --  0    39    0c
000fffc000000000 01 --  1    1a    0d
000fffc0000fffc0 02 --  0    1a    0d
000fffc0000fffc0 02 --  0    3a    0d
000fffe000000000 01 --  1    1b    0e
000fffe0000fffe0 02 --  0    1b    0e
000fffe0000fffe0 02 --  0    3b    0e
000ffff000000000 01 --  1    1c    0f
000ffff0000ffff0 02 --  0    1c    0f
000ffff0000ffff0 02 --  0    3c    0f
000ffff800000000 01 --  1    1d    10
000ffff8000ffff8 02 --  0    1d    10
000ffff8000ffff8 02 --  0    3d    10
000ffffc00000000 01 --  1    1e    11
000ffffc000ffffc 02 --  0    1e    11
000ffffc000ffffc 02 --  0    3e    11
000ffffe00000000 01 --  1    1f    12
000ffffe000ffffe 02 --  0    1f    12
000ffffe000ffffe 02 --  0    3f    12
000fffff00000000 01 --  1    20    13
000fffff000fffff 02 --  0    00    13
000fffff000fffff 02 --  0    20    13
000fffff80000000 01 --  1    21    14
000fffffc0000000 01 --  1    22    15
000fffffe0000000 01 --  1    23    16
000ffffff0000000 01 --  1    24    17
000ffffff8000000 01 --  1    25    18
000ffffffc000000 01 --  1    26    19
000ffffffe000000 01 --  1    27    1a
000fffffff000000 01 --  1    28    1b
000fffffff800000 01 --  1    29    1c
000fffffffc00000 01 --  1    2a    1d
000fffffffe00000 01 --  1    2b    1e
000ffffffff00000 01 --  1    2c    1f
000ffffffff80000 01 --  1    2d    20
000ffffffffc0000 01 --  1    2e    21
000ffffffffe0000 01 --  1    2f    22
000fffffffff0000 01 --  1    30    23
000fffffffff8000 01 --  1    31    24
000fffffffffc000 01 --  1    32    25
000fffffffffe000 01 --  1    33    26
000ffffffffff000 01 --  1    34    27
000ffffffffff800 01 --  1    35    28
000ffffffffffc00 01 --  1    36    29
000ffffffffffe00 01 --  1    37    2a
000fffffffffff00 01 --  1    38    2b
000fffffffffff80 01 --  1    39    2c
000fffffffffffc0 01 --  1    3a    2d
000fffffffffffe0 01 --  1    3b    2e
000ffffffffffff0 01 --  1    3c    2f
000ffffffffffff8 01 --  1    3d    30
000ffffffffffffc 01 --  1    3e    31
000ffffffffffffe 01 --  1    3f    32
000fffffffffffff 01 --  1    00    33
0010000000000000 01 --  1    0c    00
0010000000100000 02 --  0    0c    00
0010000000100000 02 --  0    2c    00
0010001000100010 04 --  0    0c    20
0010001000100010 04 --  0    1c    20
0010001000100010 04 --  0    2c    20
0010001000100010 04 --  0    3c    20
0018000000000000 01 --  1    0d    01
0018000000180000 02 --  0    0d    01
0018000000180000 02 --  0    2d    01
0018001800180018 04 --  0    0d    21
0018001800180018 04 --  0    1d    21
0018001800180018 04 --  0    2d    21
0018001800180018 04 --  0    3d    21
001c000000000000 01 --  1    0e    02
001c0000001c0000 02 --  0    0e    02
001c0000001c0000 02 --  0    2e    02
001c001c001c001c 04 --  0    0e    22
001c001c001c001c 04 --  0    1e    22
001c001c001c001c 04 --  0    2e    22
001c001c001c001c 04 --  0    3e    22
001e000000000000 01 --  1    0f    03
001e0000001e0000 02 --  0    0f    03
001e0000001e0000 02 --  0    2f    03
001e001e001e001e 04 --  0    0f    23
001e001e001e001e 04 --  0    1f    23
001e001e001e001e 04 --  0    2f    23
001e001e001e001e 04 --  0    3f    23
001f000000000000 01 --  1    10    04
001f0000001f0000 02 --  0    10    04
001f0000001f0000 02 --  0    30    04
001f001f001f001f 04 --  0    00    24
001f001f001f001f 04 --  0    10    24
001f001f001f001f 04 --  0    20    24
001f001f001f001f 04 --  0    30    24
001f800000000000 01 --  1    11    05
001f8000001f8000 02 --  0    11    05
001f8000001f8000 02 --  0    31    05
001fc00000000000 01 --  1    12    06
001fc000001fc000 02 --  0    12    06
001fc000001fc000 02 --  0    32    06
001fe00000000000 01 --  1    13    07
001fe000001fe000 02 --  0    13    07
001fe000001fe000 02 --  0    33    07
001ff00000000000 01 --  1    14    08
001ff000001ff000 02 --  0    14    08
001ff000001ff000 02 --  0    34    08
001ff80000000000 01 --  1    15    09
001ff800001ff800 02 --  0    15    09
001ff800001ff800 02 --  0    35    09
001ffc0000000000 01 --  1    16    0a
001ffc00001ffc00 02 --  0    16    0a
001ffc00001ffc00 02 --  0    36    0a
001ffe0000000000 01 --  1    17    0b
001ffe00001ffe00 02 --  0    17    0b
001ffe00001ffe00 02 --  0    37    0b
001fff0000000000 01 --  1    18    0c
001fff00001fff00 02 --  0    18    0c
001fff00001fff00 02 --  0    38    0c
001fff8000000000 01 --  1    19    0d
001fff80001fff80 02 --  0    19    0d
001fff80001fff80 02 --  0    39    0d
001fffc000000000 01 --  1    1a    0e
001fffc0001fffc0 02 --  0    1a    0e
001fffc0001fffc0 02 --  0    3a    0e
001fffe000000000 01 --  1    1b    0f
001fffe0001fffe0 02 --  0    1b    0f
001fffe0001fffe0 02 --  0    3b    0f
001ffff000000000 01 --  1    1c    10
001ffff0001ffff0 02 --  0    1c    10
001ffff0001ffff0 02 --  0    3c    10
001ffff800000000 01 --  1    1d    11
001ffff8001ffff8 02 --  0    1d    11
001ffff8001ffff8 02 --  0    3d    11
001ffffc00000000 01 --  1    1e    12
001ffffc001ffffc 02 --  0    1e    12
001ffffc001ffffc 02 --  0    3e    12
001ffffe00000000 01 --  1    1f    13
001ffffe001ffffe 02 --  0    1f    13
001ffffe001ffffe 02 --  0    3f    13
001fffff00000000 01 --  1    20    14
001fffff001fffff 02 --  0    00    14
001fffff001fffff 02 --  0    20    14
001fffff80000000 01 --  1    21    15
001fffffc0000000 01 --  1    22    16
001fffffe0000000 01 --  1    23    17
001ffffff0000000 01 --  1    24    18
001ffffff8000000 01 --  1    25    19
001ffffffc000000 01 --  1    26    1a
001ffffffe000000 01 --  1    27    1b
001fffffff000000 01 --  1    28    1c
001fffffff800000 01 --  1    29    1d
001fffffffc00000 01 --  1    2a    1e
001fffffffe00000 01 --  1    2b    1f
001ffffffff00000 01 --  1    2c    20
001ffffffff80000 01 --  1    2d    21
001ffffffffc0000 01 --  1    2e    22
001ffffffffe0000 01 --  1    2f    23
001fffffffff0000 01 --  1    30    24
001fffffffff8000 01 --  1    31    25
001fffffffffc000 01 --  1    32    26
001fffffffffe000 01 --  1    33    27
001ffffffffff000 01 --  1    34    28
001ffffffffff800 01 --  1    35    29
001ffffffffffc00 01 --  1    36    2a
001ffffffffffe00 01 --  1    37    2b
001fffffffffff00 01 --  1    38    2c
001fffffffffff80 01 --  1    39    2d
001fffffffffffc0 01 --  1    3a    2e
001fffffffffffe0 01 --  1    3b    2f
001ffffffffffff0 01 --  1    3c    30
001ffffffffffff8 01 --  1    3d    31
001ffffffffffffc 01 --  1    3e    32
001ffffffffffffe 01 --  1    3f    33
001fffffffffffff 01 --  1    00    34
0020000000000000 01 --  1    0b    00
0020000000200000 02 --  0    0b    00
0020000000200000 02 --  0    2b    00
0020002000200020 04 --  0    0b    20
0020002000200020 04 --  0    1b    20
0020002000200020 04 --  0    2b    20
0020002000200020 04 --  0    3b    20
0030000000000000 01 --  1    0c    01
0030000000300000 02 --  0    0c    01
0030000000300000 02 --  0    2c    01
0030003000300030 04 --  0    0c    21
0030003000300030 04 --  0    1c    21
0030003000300030 04 --  0    2c    21
0030003000300030 04 --  0    3c    21
0038000000000000 01 --  1    0d    02
0038000000380000 02 --  0    0d    02
0038000000380000 02 --  0    2d    02
0038003800380038 04 --  0    0d    22
0038003800380038 04 --  0    1d    22
0038003800380038 04 --  0    2d    22
0038003800380038 04 --  0    3d    22
003c000000000000 01 --  1    0e    03
003c0000003c0000 02 --  0    0e    03
003c0000003c0000 02 --  0    2e    03
003c003c003c003c 04 --  0    0e    23
003c003c003c003c 04 --  0    1e    23
003c003c003c003c 04 --  0    2e    23
003c003c003c003c 04 --  0    3e    23
003e000000000000 01 --  1    0f    04
003e0000003e0000 02 --  0    0f    04
003e0000003e0000 02 --  0    2f    04
003e003e003e003e 04 --  0    0f    24
003e003e003e003e 04 --  0    1f    24
003e003e003e003e 04 --  0    2f    24
003e003e003e003e 04 --  0    3f    24
003f000000000000 01 --  1    10    05
003f0000003f0000 02 --  0    10    05
003f0000003f0000 02 --  0    30    05
003f003f003f003f 04 --  0    00    25
003f003f003f003f 04 --  0    10    25
003f003f003f003f 04 --  0    20    25
003f003f003f003f 04 --  0    30    25
003f800000000000 01 --  1    11    06
003f8000003f8000 02 --  0    11    06
003f8000003f8000 02 --  0    31    06
003fc00000000000 01 --  1    12    07
003fc000003fc000 02 --  0    12    07
003fc000003fc000 02 --  0    32    07
003fe00000000000 01 --  1    13    08
003fe000003fe000 02 --  0    13    08
003fe000003fe000 02 --  0    33    08
003ff00000000000 01 --  1    14    09
003ff000003ff000 02 --  0    14    09
003ff000003ff000 02 --  0    34    09
003ff80000000000 01 --  1    15    0a
003ff800003ff800 02 --  0    15    0a
003ff800003ff800 02 --  0    35    0a
003ffc0000000000 01 --  1    16    0b
003ffc00003ffc00 02 --  0    16    0b
003ffc00003ffc00 02 --  0    36    0b
003ffe0000000000 01 --  1    17    0c
003ffe00003ffe00 02 --  0    17    0c
003ffe00003ffe00 02 --  0    37    0c
003fff0000000000 01 --  1    18    0d
003fff00003fff00 02 --  0    18    0d
003fff00003fff00 02 --  0    38    0d
003fff8000000000 01 --  1    19    0e
003fff80003fff80 02 --  0    19    0e
003fff80003fff80 02 --  0    39    0e
003fffc000000000 01 --  1    1a    0f
003fffc0003fffc0 02 --  0    1a    0f
003fffc0003fffc0 02 --  0    3a    0f
003fffe000000000 01 --  1    1b    10
003fffe0003fffe0 02 --  0    1b    10
003fffe0003fffe0 02 --  0    3b    10
003ffff000000000 01 --  1    1c    11
003ffff0003ffff0 02 --  0    1c    11
003ffff0003ffff0 02 --  0    3c    11
003ffff800000000 01 --  1    1d    12
003ffff8003ffff8 02 --  0    1d    12
003ffff8003ffff8 02 --  0    3d    12
003ffffc00000000 01 --  1    1e    13
003ffffc003ffffc 02 --  0    1e    13
003ffffc003ffffc 02 --  0    3e    13
003ffffe00000000 01 --  1    1f    14
003ffffe003ffffe 02 --  0    1f    14
003ffffe003ffffe 02 --  0    3f    14
003fffff00000000 01 --  1    20    15
003fffff003fffff 02 --  0    00    15
003fffff003fffff 02 --  0    20    15
003fffff80000000 01 --  1    21    16
003fffffc0000000 01 --  1    22    17
003fffffe0000000 01 --  1    23    18
003ffffff0000000 01 --  1    24    19
003ffffff8000000 01 --  1    25    1a
003ffffffc000000 01 --  1    26    1b
003ffffffe000000 01 --  1    27    1c
003fffffff000000 01 --  1    28    1d
003fffffff800000 01 --  1    29    1e
003fffffffc00000 01 --  1    2a    1f
003fffffffe00000 01 --  1    2b    20
003ffffffff00000 01 --  1    2c    21
003ffffffff80000 01 --  1    2d    22
003ffffffffc0000 01 --  1    2e    23
003ffffffffe0000 01 --  1    2f    24
003fffffffff0000 01 --  1    30    25
003fffffffff8000 01 --  1    31    26
003fffffffffc000 01 --  1    32    27
003fffffffffe000 01 --  1    33    28
003ffffffffff000 01 --  1    34    29
003ffffffffff800 01 --  1    35    2a
003ffffffffffc00 01 --  1    36    2b
003ffffffffffe00 01 --  1    37    2c
003fffffffffff00 01 --  1    38    2d
003fffffffffff80 01 --  1    39    2e
003fffffffffffc0 01 --  1    3a    2f
003fffffffffffe0 01 --  1    3b    30
003ffffffffffff0 01 --  1    3c    31
003ffffffffffff8 01 --  1    3d    32
003ffffffffffffc 01 --  1    3e    33
003ffffffffffffe 01 --  1    3f    34
003fffffffffffff 01 --  1    00    35
0040000000000000 01 --  1    0a    00
0040000000400000 02 --  0    0a    00
0040000000400000 02 --  0    2a    00
0040004000400040 04 --  0    0a    20
0040004000400040 04 --  0    1a    20
0040004000400040 04 --  0    2a    20
0040004000400040 04 --  0    3a    20
0060000000000000 01 --  1    0b    01
0060000000600000 02 --  0    0b    01
0060000000600000 02 --  0    2b    01
0060006000600060 04 --  0    0b    21
0060006000600060 04 --  0    1b    21
0060006000600060 04 --  0    2b    21
0060006000600060 04 --  0    3b    21
0070000000000000 01 --  1    0c    02
0070000000700000 02 --  0    0c    02
0070000000700000 02 --  0    2c    02
0070007000700070 04 --  0    0c    22
0070007000700070 04 --  0    1c    22
0070007000700070 04 --  0    2c    22
0070007000700070 04 --  0    3c    22
0078000000000000 01 --  1    0d    03
0078000000780000 02 --  0    0d    03
0078000000780000 02 --  0    2d    03
0078007800780078 04 --  0    0d    23
0078007800780078 04 --  0    1d    23
0078007800780078 04 --  0    2d    23
0078007800780078 04 --  0    3d    23
007c000000000000 01 --  1    0e    04
007c0000007c0000 02 --  0    0e    04
007c0000007c0000 02 --  0    2e    04
007c007c007c007c 04 --  0    0e    24
007c007c007c007c 04 --  0    1e    24
007c007c007c007c 04 --  0    2e    24
007c007c007c007c 04 --  0    3e    24
007e000000000000 01 --  1    0f    05
007e0000007e0000 02 --  0    0f    05
007e0000007e0000 02 --  0    2f    05
007e007e007e007e 04 --  0    0f    25
007e007e007e007e 04 --  0    1f    25
007e007e007e007e 04 --  0    2f    25
007e007e007e007e 04 --  0    3f    25
007f000000000000 01 --  1    10    06
007f0000007f0000 02 --  0    10    06
007f0000007f0000 02 --  0    30    06
007f007f007f007f 04 --  0    00    26
007f007f007f007f 04 --  0    10    26
007f007f007f007f 04 --  0    20    26
007f007f007f007f 04 --  0    30    26
007f800000000000 01 --  1    11    07
007f8000007f8000 02 --  0    11    07
007f8000007f8000 02 --  0    31    07
007fc00000000000 01 --  1    12    08
007fc000007fc000 02 --  0    12    08
007fc000007fc000 02 --  0    32    08
007fe00000000000 01 --  1    13    09
007fe000007fe000 02 --  0    13    09
007fe000007fe000 02 --  0    33    09
007ff00000000000 01 --  1    14    0a
007ff000007ff000 02 --  0    14    0a
007ff000007ff000 02 --  0    34    0a
007ff80000000000 01 --  1    15    0b
007ff800007ff800 02 --  0    15    0b
007ff800007ff800 02 --  0    35    0b
007ffc0000000000 01 --  1    16    0c
007ffc00007ffc00 02 --  0    16    0c
007ffc00007ffc00 02 --  0    36    0c
007ffe0000000000 01 --  1    17    0d
007ffe00007ffe00 02 --  0    17    0d
007ffe00007ffe00 02 --  0    37    0d
007fff0000000000 01 --  1    18    0e
007fff00007fff00 02 --  0    18    0e
007fff00007fff00 02 --  0    38    0e
007fff8000000000 01 --  1    19    0f
007fff80007fff80 02 --  0    19    0f
007fff80007fff80 02 --  0    39    0f
007fffc000000000 01 --  1    1a    10
007fffc0007fffc0 02 --  0    1a    10
007fffc0007fffc0 02 --  0    3a    10
007fffe000000000 01 --  1    1b    11
007fffe0007fffe0 02 --  0    1b    11
007fffe0007fffe0 02 --  0    3b    11
007ffff000000000 01 --  1    1c    12
007ffff0007ffff0 02 --  0    1c    12
007ffff0007ffff0 02 --  0    3c    12
007ffff800000000 01 --  1    1d    13
007ffff8007ffff8 02 --  0    1d    13
007ffff8007ffff8 02 --  0    3d    13
007ffffc00000000 01 --  1    1e    14
007ffffc007ffffc 02 --  0    1e    14
007ffffc007ffffc 02 --  0    3e    14
007ffffe00000000 01 --  1    1f    15
007ffffe007ffffe 02 --  0    1f    15
007ffffe007ffffe 02 --  0    3f    15
007fffff00000000 01 --  1    20    16
007fffff007fffff 02 --  0    00    16
007fffff007fffff 02 --  0    20    16
007fffff80000000 01 --  1    21    17
007fffffc0000000 01 --  1    22    18
007fffffe0000000 01 --  1    23    19
007ffffff0000000 01 --  1    24    1a
007ffffff8000000 01 --  1    25    1b
007ffffffc000000 01 --  1    26    1c
007ffffffe000000 01 --  1    27    1d
007fffffff000000 01 --  1    28    1e
007fffffff800000 01 --  1    29    1f
007fffffffc00000 01 --  1    2a    20
007fffffffe00000 01 --  1    2b    21
007ffffffff00000 01 --  1    2c    22
007ffffffff80000 01 --  1    2d    23
007ffffffffc0000 01 --  1    2e    24
007ffffffffe0000 01 --  1    2f    25
007fffffffff0000 01 --  1    30    26
007fffffffff8000 01 --  1    31    27
007fffffffffc000 01 --  1    32    28
007fffffffffe000 01 --  1    33    29
007ffffffffff000 01 --  1    34    2a
007ffffffffff800 01 --  1    35    2b
007ffffffffffc00 01 --  1    36    2c
007ffffffffffe00 01 --  1    37    2d
007fffffffffff00 01 --  1    38    2e
007fffffffffff80 01 --  1    39    2f
007fffffffffffc0 01 --  1    3a    30
007fffffffffffe0 01 --  1    3b    31
007ffffffffffff0 01 --  1    3c    32
007ffffffffffff8 01 --  1    3d    33
007ffffffffffffc 01 --  1    3e    34
007ffffffffffffe 01 --  1    3f    35
007fffffffffffff 01 --  1    00    36
0080000000000000 01 --  1    09    00
0080000000800000 02 --  0    09    00
0080000000800000 02 --  0    29    00
0080008000800080 04 --  0    09    20
0080008000800080 04 --  0    19    20
0080008000800080 04 --  0    29    20
0080008000800080 04 --  0    39    20
00c0000000000000 01 --  1    0a    01
00c0000000c00000 02 --  0    0a    01
00c0000000c00000 02 --  0    2a    01
00c000c000c000c0 04 --  0    0a    21
00c000c000c000c0 04 --  0    1a    21
